City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
6,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
11,Takoradi,GH,78.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
12,Butaritari,KI,82.29,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Rikitea,PF,76.6,few clouds,-23.1203,-134.9692,People ThankYou
15,Sao Filipe,CV,77.16,clear sky,14.8961,-24.4956,Hotel Xaguate
17,Pedasi,PA,78.66,few clouds,7.5333,-80.0333,Selina Pedasi
23,Dingle,PH,83.08,light rain,10.9995,122.6711,SEGAYA PROPERTY
25,Busselton,AU,79.86,scattered clouds,-33.65,115.3333,Observatory Guest House
34,Meulaboh,ID,77.43,moderate rain,4.1363,96.1285,Kost Pria
35,Port Blair,IN,81.86,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
39,Hithadhoo,MV,81.68,overcast clouds,-0.6,73.0833,Scoop Guest House
40,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
41,Lorengau,PG,85.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Ormara,PK,75.36,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
53,Lokoja,NG,77.92,overcast clouds,7.8024,6.743,Hotel Charvid
59,Kavieng,PG,84.25,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
63,Atuona,PF,78.53,overcast clouds,-9.8,-139.0333,Villa Enata
67,Carauari,BR,75.7,overcast clouds,-4.8828,-66.8958,Hotel Fellip
79,Kapaa,US,80.92,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Kuantan,MY,78.3,overcast clouds,3.8077,103.326,Hotel Sentral Kuantan
110,Tubuala,PA,77.11,overcast clouds,9.5167,-79.0333,Río Nabagana
118,Manggar,ID,76.5,heavy intensity rain,-2.8833,108.2667,Guest Hotel
123,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
130,Kaura Namoda,NG,75.25,overcast clouds,12.5898,6.5779,Moonlight Hotel
133,Carutapera,BR,78.84,clear sky,-1.195,-46.02,Lidera
136,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
137,Kalmunai,LK,78.75,moderate rain,7.4167,81.8167,VS Villa
141,Finschhafen,PG,85.84,broken clouds,-6.6024,147.8681,Cossam Guest House
143,Namatanai,PG,84.56,light rain,-3.6667,152.4333,Seagulls Inn Namatani
145,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
153,Faanui,PF,81.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Dhidhdhoo,MV,80.37,overcast clouds,6.8833,73.1,Dhidhoo beach
158,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
162,Esperance,AU,75.87,clear sky,-33.8667,121.9,Hospitality Esperance
165,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
167,Balabac,PH,82.71,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
168,Weligama,LK,75.76,overcast clouds,5.9667,80.4167,Weligama Bay Resort
173,Coolum Beach,AU,75.07,broken clouds,-26.5333,153.1,Palmer Coolum Resort
176,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
178,Sibolga,ID,76.77,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
197,Alugan,PH,82.31,overcast clouds,12.2188,125.4808,JM Lodge
201,Ixtapa,MX,79.83,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
210,Ocos,GT,78.98,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
211,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
216,Khartoum,SD,81.64,clear sky,15.5518,32.5324,Hotel China
218,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
219,Honiara,SB,86.31,overcast clouds,-9.4333,159.95,Heritage Park Hotel
225,Lufilufi,WS,82.51,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
235,Japura,ID,79.36,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
246,Murwillumbah,AU,75.22,overcast clouds,-28.3167,153.4,Murwillumbah Motor Inn
255,Samarai,PG,83.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
267,Thanyaburi,TH,75.15,clear sky,14.0211,100.7343,Hotel RIDE 'n Lazy @ Thai Wake Park
272,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
273,Dalby,AU,77.31,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
278,Lagunas,PE,81.05,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
279,Linguere,SN,80.08,clear sky,15.3953,-15.1193,AYO Casablanca
286,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
287,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
288,Guanica,PR,79.48,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
289,Hobyo,SO,80.2,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
298,Itarema,BR,80.24,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
300,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
302,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
307,La Romana,DO,76.73,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
