City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,2021-11-28 01:07:58,77.484,-69.3632,-0.54,98,98,1.9,overcast clouds
1,Chokurdakh,RU,2021-11-28 01:07:58,70.6333,147.9167,-31.68,99,100,0.58,overcast clouds
2,Alamogordo,US,2021-11-28 01:05:57,32.8995,-105.9603,52.61,34,1,8.05,clear sky
3,Punta Arenas,CL,2021-11-28 01:07:59,-53.15,-70.9167,53.71,54,90,11.5,overcast clouds
4,Hambantota,LK,2021-11-28 01:07:59,6.1241,81.1185,75.54,100,75,5.75,broken clouds
5,Egvekinot,RU,2021-11-28 01:08:00,66.3167,-179.1667,-16.08,84,0,4.97,clear sky
6,Hilo,US,2021-11-28 01:08:00,19.7297,-155.09,78.53,65,40,6.91,scattered clouds
7,Saskylakh,RU,2021-11-28 01:08:00,71.9167,114.0833,-3.87,93,98,10.27,overcast clouds
8,Storm Lake,US,2021-11-28 01:08:01,42.6411,-95.2097,39.42,75,1,11.5,clear sky
9,Tuktoyaktuk,CA,2021-11-28 01:04:10,69.4541,-133.0374,-6.09,96,100,16.82,light snow
10,Grabs,CH,2021-11-28 01:08:01,47.1825,9.4439,35.26,95,100,0.72,light snow
11,Takoradi,GH,2021-11-28 01:08:02,4.8845,-1.7554,78.93,83,100,6.17,overcast clouds
12,Butaritari,KI,2021-11-28 01:08:02,3.0707,172.7902,82.29,72,50,18.41,scattered clouds
13,Aguimes,ES,2021-11-28 01:08:02,27.9054,-15.4461,61.43,72,40,14.97,scattered clouds
14,Rikitea,PF,2021-11-28 01:08:03,-23.1203,-134.9692,76.6,73,24,15.68,few clouds
15,Sao Filipe,CV,2021-11-28 01:04:29,14.8961,-24.4956,77.16,73,9,12.77,clear sky
16,Castro,BR,2021-11-28 01:08:03,-24.7911,-50.0119,63.73,75,1,0.78,clear sky
17,Pedasi,PA,2021-11-28 01:08:04,7.5333,-80.0333,78.66,82,19,10.25,few clouds
18,Klaksvik,FO,2021-11-28 01:08:04,62.2266,-6.589,25.72,66,98,9.17,overcast clouds
