City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-11-24 07:09:42,-21.2078,-159.775,73.45,73,100,5.75
1,Puerto Ayora,EC,2021-11-24 07:11:04,-0.7393,-90.3518,68.56,82,27,6.93
2,Georgetown,MY,2021-11-24 07:08:33,5.4112,100.3354,89.53,67,20,5.75
3,Ternate,ID,2021-11-24 07:11:04,0.8,127.4,84.78,71,100,6.15
4,Mataura,NZ,2021-11-24 07:11:04,-46.1927,168.8643,57.11,63,100,4.88
5,Abengourou,CI,2021-11-24 07:11:05,6.7297,-3.4964,72.39,96,85,1.34
6,Nikolskoye,RU,2021-11-24 07:11:06,59.7035,30.7861,37.87,97,100,13.85
7,Yellowknife,CA,2021-11-24 07:11:06,62.456,-114.3525,-13.45,95,82,8.01
8,Tazovskiy,RU,2021-11-24 07:10:22,67.4667,78.7,4.41,95,96,9.86
9,Ushuaia,AR,2021-11-24 07:11:06,-54.8,-68.3,42.46,81,75,5.75
10,Atuona,PF,2021-11-24 07:11:07,-9.8,-139.0333,77.67,77,30,12.62
11,Cape Town,ZA,2021-11-24 07:09:03,-33.9258,18.4232,72.12,52,50,13.87
12,Westport,US,2021-11-24 07:11:07,41.1415,-73.3579,32.99,66,1,5.01
13,Gamba,GA,2021-11-24 07:11:08,-2.65,10.0,77.72,85,86,2.26
14,Gorom-Gorom,BF,2021-11-24 07:11:08,14.4439,-0.2361,76.3,25,4,10.13
15,Rikitea,PF,2021-11-24 07:08:28,-23.1203,-134.9692,76.33,84,91,16.4
16,Chuy,UY,2021-11-24 07:11:09,-33.6971,-53.4616,51.08,85,0,4.59
17,Jamestown,US,2021-11-24 07:11:09,42.097,-79.2353,31.59,80,1,1.01
18,Cockburn Town,TC,2021-11-24 07:11:10,21.4612,-71.1419,79.36,76,32,14.99
19,Ballina,AU,2021-11-24 07:07:21,-28.8667,153.5667,73.58,98,100,11.36
20,Zahesi,GE,2021-11-24 07:11:10,41.8246,44.7536,55.11,56,91,6.17
21,Kaitangata,NZ,2021-11-24 07:11:10,-46.2817,169.8464,57.09,71,86,4.32
22,Hermanus,ZA,2021-11-24 07:11:11,-34.4187,19.2345,71.91,66,13,13.2
23,Punta Arenas,CL,2021-11-24 07:11:11,-53.15,-70.9167,41.11,81,20,5.75
24,Kavieng,PG,2021-11-24 07:11:12,-2.5744,150.7967,84.06,73,100,11.65
25,Richards Bay,ZA,2021-11-24 07:11:12,-28.783,32.0377,71.55,51,4,19.39
26,Hobart,AU,2021-11-24 07:11:13,-42.8794,147.3294,71.11,68,75,12.66
27,Albany,US,2021-11-24 07:07:45,42.6001,-73.9662,26.1,72,0,1.99
28,Faanui,PF,2021-11-24 07:11:13,-16.4833,-151.75,80.89,75,37,5.3
29,Ust-Nera,RU,2021-11-24 07:11:13,64.5667,143.2,-17.14,97,100,4.54
30,Takoradi,GH,2021-11-24 07:11:14,4.8845,-1.7554,80.42,80,42,4.36
31,Ilave,PE,2021-11-24 07:11:14,-16.0833,-69.6667,45.88,82,100,5.14
32,Kokoda,PG,2021-11-24 07:11:15,-8.8785,147.7407,79.2,91,93,3.83
33,Hithadhoo,MV,2021-11-24 07:11:15,-0.6,73.0833,81.93,77,98,19.28
34,Kodiak,US,2021-11-24 07:11:16,57.79,-152.4072,11.71,62,20,6.91
35,Busselton,AU,2021-11-24 07:11:16,-33.65,115.3333,85.08,42,0,13.35
36,Iskateley,RU,2021-11-24 07:11:17,67.6803,53.1512,10.71,91,100,7.14
37,Vanimo,PG,2021-11-24 07:11:17,-2.6741,141.3028,81.79,85,100,5.86
38,Tiksi,RU,2021-11-24 07:11:17,71.6872,128.8694,-20.56,98,39,7.58
39,Cherskiy,RU,2021-11-24 07:11:18,68.75,161.3,-23.55,95,100,4.72
40,Port Elizabeth,ZA,2021-11-24 07:11:18,-33.918,25.5701,63.1,72,100,6.85
41,Atbasar,KZ,2021-11-24 07:11:19,51.8,68.3333,21.18,94,100,4.27
42,Ixtapa,MX,2021-11-24 07:11:19,20.7,-105.2,69.76,82,20,3.24
43,Rohnert Park,US,2021-11-24 07:11:45,38.3396,-122.7011,58.82,80,0,1.99
44,Carnarvon,AU,2021-11-24 07:11:07,-24.8667,113.6333,87.87,40,0,18.41
45,Bredasdorp,ZA,2021-11-24 07:12:20,-34.5322,20.0403,66.27,60,39,14.45
46,Norman Wells,CA,2021-11-24 07:12:20,65.282,-126.8329,-15.84,96,100,0.34
47,Tautira,PF,2021-11-24 07:12:20,-17.7333,-149.15,78.82,79,64,10.54
48,Louveira,BR,2021-11-24 07:12:21,-23.0864,-46.9506,71.08,87,100,10.54
49,Faya,SA,2021-11-24 07:12:21,18.3851,42.4509,64.92,18,6,5.21
50,Thinadhoo,MV,2021-11-24 07:12:21,0.5333,72.9333,82.36,77,99,19.84
51,Khatanga,RU,2021-11-24 07:12:22,71.9667,102.5,-2.69,87,100,7.52
52,Artyom,AZ,2021-11-24 07:12:22,40.4723,50.333,53.74,60,19,12.86
53,Upernavik,GL,2021-11-24 07:12:22,72.7868,-56.1549,12.85,65,100,6.87
54,Siuna,NI,2021-11-24 07:12:23,13.7332,-84.7773,68.79,95,12,3.53
55,Pasni,PK,2021-11-24 07:12:23,25.2631,63.471,81.88,31,81,4.0
56,Yulara,AU,2021-11-24 07:12:24,-25.2406,130.9889,76.84,31,40,14.97
57,Asyut,EG,2021-11-24 07:12:24,27.181,31.1837,67.69,48,56,5.59
58,Roma,US,2021-11-24 07:11:29,43.2128,-75.4557,22.87,87,1,0.0
59,Usinsk,RU,2021-11-24 07:12:25,65.9939,57.5281,16.72,94,100,18.45
60,Boyolangu,ID,2021-11-24 07:12:25,-8.1181,111.8935,86.13,65,19,7.45
61,Heishan,CN,2021-11-24 07:12:26,41.6892,122.1128,33.1,57,9,1.1
62,Arraial Do Cabo,BR,2021-11-24 07:12:26,-22.9661,-42.0278,71.04,87,100,4.18
63,Mount Gambier,AU,2021-11-24 07:12:27,-37.8333,140.7667,66.18,66,79,10.42
64,Pisco,PE,2021-11-24 07:12:27,-13.7,-76.2167,62.65,88,100,3.44
65,Comodoro Rivadavia,AR,2021-11-24 07:08:53,-45.8667,-67.5,64.26,42,0,14.97
66,Fort Nelson,CA,2021-11-24 07:12:27,58.8053,-122.7002,-11.47,100,100,0.4
67,Pangnirtung,CA,2021-11-24 07:12:28,66.1451,-65.7125,24.75,96,100,10.02
68,Lingao,CN,2021-11-24 07:12:28,19.9103,109.6859,71.1,64,73,10.78
69,Qaqortoq,GL,2021-11-24 07:12:29,60.7167,-46.0333,28.9,92,100,12.3
70,Bathsheba,BB,2021-11-24 07:12:29,13.2167,-59.5167,77.61,83,40,5.75
71,New Norfolk,AU,2021-11-24 07:12:29,-42.7826,147.0587,70.75,61,98,1.99
72,Nushki,PK,2021-11-24 07:12:30,29.5542,66.0215,72.5,19,1,5.08
73,Cidreira,BR,2021-11-24 07:12:30,-30.1811,-50.2056,62.82,71,1,6.2
